url,title,title_length,meta_description,meta_description_length,meta_keywords,h1_tags,h1_count,h2_count,word_count,image_count,images_with_alt,images_without_alt,internal_links,external_links,has_structured_data,canonical_url,has_viewport_meta
https://simplybeyond.dk/collections/sovebriller,Sovebriller i Silke | Bloker Lys Effektivt | Simply Beyond,58,"Få den søvn, du fortjener med vores sovebriller i silke. Bloker lys og opnå en uforstyrret nattesøvn. Oplev luksus nu!",118,,"['Sovebriller - Luksus, Komfort og Uforstyrret Søvn', '']",2,15,2154,52,52,0,188,6,True,https://simplybeyond.dk/collections/sovebriller,True
https://simplybeyond.dk/collections/sovemaske-silke,Sovemaske i Silke | Luksuriøs Søvnkomfort | Simply Beyond,57,Oplev luksus med vores sovemaske i silke. Forbedr din søvnkvalitet og beskyt huden effektivt. Bestil nu for en bedre nat!,121,,"['Sovemaske silke – oplev forskellen med ægte luksus', '']",2,15,2079,52,52,0,189,6,True,https://simplybeyond.dk/collections/sovemaske-silke,True
https://simplybeyond.dk/collections/sovemaske,"Sovemaske | Luksus, ro og bedre søvn med Simply Beyond | Simply Beyond",70,"Oplev luksus med vores Sovemaske. Fremstillet af 100 % ægte silke, hjælper den med at lukke lys ude, så du kan sove bedre",121,,"['Sovemaske – naturlig komfort og ro med ægte silke', '']",2,12,1951,52,52,0,186,6,True,https://simplybeyond.dk/collections/sovemaske,True
https://simplybeyond.dk/collections/natmaske-silke,"Natmaske i silke | Luksus, komfort og bedre søvn | Simply Beyond",64,"Oplev luksusen ved en natmaske i silke fra Simply Beyond. Blød, åndbar og skånsom mod huden – for dig, der ønsker dyb søvn og smuk hud hver nat",143,,"['Natmasker i silke - Skønhedssøvn i sin mest luksuriøse form', '']",2,13,1833,52,52,0,191,6,True,https://simplybeyond.dk/collections/natmaske-silke,True
https://simplybeyond.dk/collections/haarelastikker,Hårelastikker | Skånsom mod dit hår | Simply Beyond,51,Vores kvalitets hårelastik er designet til at minimere hårskader. Få et perfekt look og høj komfort hele dagen. Shop hos os!,124,,"['Hårelastikker - skønhed og pleje i ét', '']",2,12,1380,42,42,0,189,6,True,https://simplybeyond.dk/collections/haarelastikker,True
https://simplybeyond.dk/collections/silketoerklaede,Silketørklæde | Eksklusive silke tørklæder til dame | Simply Beyond,67,"Opdag Simply Beyonds silketørklæder i 100% Mulberry silke. Eksklusive silketørklæder til dame – bløde, elegante og skånsomme mod hud og hår",139,,"['Silketørklæde - tidløs elegance i blødeste silke', '']",2,10,1526,35,35,0,194,6,True,https://simplybeyond.dk/collections/silketoerklaede,True
https://simplybeyond.dk/collections/silke-bonnet,Silke Bonnet | 100% Mulberry silke | Simply Beyond,50,Opdag vores silke bonnet kollektion – ideel til at beskytte dit hår hele natten. Reduktion af krus og knuder venter!,116,,"['Silke Bonnet', '']",2,9,876,33,33,0,184,6,True,https://simplybeyond.dk/collections/silke-bonnet,True
https://simplybeyond.dk/collections/heatless-curls,Heatless Curls | Curls i Mulberry Silke | Simply Beyond,55,"Oplev Heatless Curls i Mulberry Silke for smukke krøller uden varme. Få bløde og glansfulde resultater, mens du sover",117,,"['Heatless Curls i Mulberry Silke - smukke krøller uden varme', '']",2,11,1253,33,33,0,185,6,True,https://simplybeyond.dk/collections/heatless-curls,True
https://simplybeyond.dk/collections/nyheder,Nyheder | Opdag de nyeste silkeprodukter | Simply Beyond,56,"Se vores nyeste nyheder i silke! Fra scrunchies til pudebetræk, opdag de seneste lanceringer for en luksuriøs nattesøvn og hårpleje.",132,,"['Nyheder – Opdag de nyeste silkeprodukter hos Simply Beyond', 'Nyheder – Opdag de nyeste silkeprodukter hos Simply Beyond', '']",3,11,1158,60,60,0,210,6,True,https://simplybeyond.dk/collections/nyheder,True
https://simplybeyond.dk/collections/charmeklud-i-sillke,Charmeklude i Silke | Eksklusiv Stil | Simply Beyond,52,Giv dit look kant med en charmeklud i 100% Mulberry silke. Brug den som lommeklud eller tørklæde – til mænd med stil og sans for detaljen,137,,"['Charmeklud i 100% Mulberry Silke', '']",2,10,1274,36,36,0,191,6,True,https://simplybeyond.dk/collections/charmeklud-i-sillke,True
